text_en,text_tfidf
Diagonal road connecting bendre circle and BBMP yoga hall next to cosmo club garage which runs opposite govt nature cure hospital is unsafe in the early morning due to street lights not working.,diagonal road connecting bendre circle bbmp yoga hall next cosmo club garage run opposite govt nature cure hospital unsafe early morning due street light working
There is big hole on the road where people will be coming very fast and couldn't control the vehicle. please fix this issue,big hole road people coming fast control vehicle please fix issue
A lot of garbage is accumulated on harlur road near water body. this is also burned sometimes causing serious pollution.,lot garbage accumulated harlur road near water body also burned sometimes causing serious pollution
Road clearing material is just left. This place can be used to plant trees,road clearing material left place used plant tree
"There is a water supply vendor R N Water supply who comes to M 135, 9th A main, LIC Colony,  almost everyday . The water supply vendor never wears a mask . Pics attached- 9945396968 , 9483506968. while asked why he does not wear a mask, he said he does not have one. he comes and stands right in front of our house and it is a possibility of great infection to us",water supply vendor water supply come main lic colony almost everyday water supply vendor never wear mask pic attached asked wear mask said one come stand right front house possibility great infection
They charge above mrp for milk and curd products...for 10 rs milk they charge curd,charge mrp milk curd product milk charge curd
"Now most of the by lanes has been asphalted though the quality is very poor, however the 5th cross road with the drainage is in very bad shape. Repeated pleas to the Corporator has no results.

Also this is one of the worst layout with garbage strewn in the 2 main roads connecting the old airport road & in the by lanes, no sapling planted, quality of road laid out is poor etc.,  Though we hear big promises from the Corporator, work moves in snails speed.  The condition of this layout has been like this for past several years.",lane asphalted though quality poor however cross road drainage bad shape repeated plea corporator result also one worst layout garbage strewn main road connecting old airport road lane sapling planted quality road laid poor etc though hear big promise corporator work move snail speed condition layout like past several year
Complete road garbage is accumulated on 9th cross in front of houses and not cleared .. Several requests to the cleaning lady goes unheard . She accumulates dry leaves in front of the houses and burns it which causes a lot of disturbances.,complete road garbage accumulated cross front house cleared several request cleaning lady go unheard accumulates dry leaf front house burn cause lot disturbance
Stray Dogs have become an issue chasing kids and elders while walking,stray dog become issue chasing kid elder walking
"To many mosquitoes to take... just growing day by day. Such big and huge in size, kids are suffering from malaria due to this.",many mosquito take growing day day big huge size kid suffering malaria due
BBMP contractors have blocked the drainage at the end of street and all the gutter waste get accumulated and will block drainage.And during the rain water will be spell outside and this leads to health hazards.,bbmp contractor blocked drainage end street gutter waste get accumulated block drainage rain water spell outside lead health hazard
Garbage is dumped on both sides of the streets openly without any garbage cans. Stray animals keep feeding on it. The street looks very dirty and unhygienic. Please do the needful.,garbage dumped side street openly without garbage can stray animal keep feeding street look dirty unhygienic please needful
"There are about 6-7 stray dogs roaming in this road. Every night they keep barking & disturbing residents. They also climb on cars parked on road & damage car covers, car antenna. They chase 2 wheelers thereby causing risk & danger. Please arrange to catch them.",stray dog roaming road every night keep barking disturbing resident also climb car parked road damage car cover car antenna chase wheeler thereby causing risk danger please arrange catch
The road(on footpath) outside this apartments is strewn with garbage . miscreants dump garbage on either side of the entrance of the apartment.please help in clearing this and also to stop it from happening again.,road footpath outside apartment strewn garbage miscreant dump garbage either side entrance apartment please help clearing also stop happening
"I parked my car in KSR Bengaluru Railway station. The parking coupon does not mention parking charges and there is no display board anywhere to tell what are the applicable charges.

The guy standing at exit charges randomly based on time, special day etc. When I asked him to give proper receipt with charges printed, he wrote it on pen and give it back to me.

I need a clear board which display applicable parking charges and receipt must include payment made",parked car ksr bengaluru railway station parking coupon mention parking charge display board anywhere tell applicable charge guy standing exit charge randomly based time special day etc asked give proper receipt charge printed wrote pen give back need clear board display applicable parking charge receipt must include payment made
"This is regarding garbage vehicle person changing money, if money is not provided he is using abusing words to everyone in the locality and he is charging 2000 ruppes per each house.

he is abusing everyone with bad words. kindly resolve this issue. please change the vehicle person other wise this complaint leads to further consequences.",regarding garbage vehicle person changing money money provided using abusing word everyone locality charging ruppes per house abusing everyone bad word kindly resolve issue please change vehicle person wise complaint lead consequence
"Worst road surrounding in Ramamurthy Nagara, NRI Layout, 9th main.. PLEASE HELP",worst road surrounding ramamurthy nagara nri layout main please help
"There are several vehicles like cars and tempos which are parked on 3rd main jakksandra road limiting the movement of vehicles resulting in severe jam everyday, instead of fixing this issue the locals have put up barricades which has added to the already existing problem. The road also is a garbage dumping area and is filled with potholes. The area MLA is not doing the corrections. Please help.",several vehicle like car tempo parked main jakksandra road limiting movement vehicle resulting severe jam everyday instead fixing issue local put barricade added already existing problem road also garbage dumping area filled pothole area mla correction please help
